STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,siec,Standard international energy product classification (SIEC),partner,Geopolitical entity (partner),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DK,Denmark,2021,,2502.686,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DK,Denmark,2022,,2729.398,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,DK,Denmark,2023,,8614.365,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EA20,Euro area – 20 countries (from 2023),2014,,306561.859,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EA20,Euro area – 20 countries (from 2023),2015,,326134.731,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EA20,Euro area – 20 countries (from 2023),2016,,331769.928,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EA20,Euro area – 20 countries (from 2023),2017,,348395.625,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EA20,Euro area – 20 countries (from 2023),2018,,324567.095,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EA20,Euro area – 20 countries (from 2023),2019,,358716.708,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EA20,Euro area – 20 countries (from 2023),2020,,319674.833,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EA20,Euro area – 20 countries (from 2023),2021,,329127.910,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EA20,Euro area – 20 countries (from 2023),2022,,363127.204,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EA20,Euro area – 20 countries (from 2023),2023,,313239.917,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EE,Estonia,2014,,530.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EE,Estonia,2015,,471.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EE,Estonia,2016,,518.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EE,Estonia,2017,,510.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EE,Estonia,2018,,524.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EE,Estonia,2019,,485.700,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EE,Estonia,2020,,447.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EE,Estonia,2021,,506.150,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EE,Estonia,2022,,420.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EE,Estonia,2023,,318.500,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EL,Greece,2014,,2931.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EL,Greece,2015,,3162.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EL,Greece,2016,,4067.000,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EL,Greece,2017,,4975.095,,,,,
dataflow,ESTAT:NRG_TI_GAS$DEFAULTVIEW(1.0),Imports of natural gas by partner country,A,Annual,G3000,Natural gas,TOTAL,Total,MIO_M3,Million cubic metres,EL,Greece,2018,,4902.130,,,,,
