Region,Country,Solar_capacity,Wind_capacity,Nuclear_capacity,Coal_capacity,Hydro_capacity,Oil_capacity,Gas_capacity,Bio_capacity,Geo_capacity,total_capacity,Solar_generation,Wind_generation,Nuclear_generation,Coal_generation,Hydro_generation,Gas_generation,Oil_generation,Bio_generation,Geo_generation,total_generation,ISO_A3
Europe,Finland,82.2,7454.4,4622,1160.2,1576.0,1124.0,1650.0,2416.0,,20084.8,0.08640864000000001,19.5901632,28.342103999999996,4.0653408,4.832015999999999,6.5043,3.2492592,10.58208,,77.25167184,FIN
Europe,Portugal,2777.5,5639.6,,,6442.0,320.0,4332.0,210.0,24.0,19745.1,2.919708,14.820868800000001,,,19.751172,17.076744,0.9250560000000001,0.9198,0.14716799999999997,56.5605168,PRT
Americas,Venezuela,1.1,,,,16010.0,100.0,3615.0,,,19726.1,0.0018308400000000002,,,,63.11142,11.08359,0.3066,,,74.50344084,VEN
Europe,Greece,1601.4,5313.2,,1985.0,2999.0,1149.0,6377.0,,,19424.6,1.6833916800000002,13.963089599999998,,6.95544,9.194933999999998,25.138134,3.3215292,,,60.25651848,GRC
Europe,Romania,1867.1,5436.0,1411,2260.0,4942.0,,3070.0,30.0,,19016.1,1.96269552,14.285808,8.652252,7.91904,15.152171999999998,12.10194,,0.1314,,60.20530752,ROU
Europe,Austria,265.5,3014.0,,,10813.0,230.0,4526.0,70.0,,18918.5,0.2790936,7.920791999999999,,,33.152657999999995,17.841492,0.664884,0.3066,,60.165519599999996,AUT
Europe,Czech Republic,1301.6,140.0,4164,7403.6,1722.0,,1719.0,30.0,,16480.2,1.36824192,0.36792,25.533647999999996,25.942214400000005,5.279651999999999,6.776298000000001,,0.1314,,65.39937431999999,CZE
Asia,Oman,1809.4,50.0,,,,208.0,14006.8,,,16074.199999999999,2.3775516,0.1095,,,,49.079827200000004,0.728832,,,52.2957108,OMN
Europe,Switzerland,96.8,55.0,3095,,12218.0,,99.0,,,15563.8,0.10175616,0.14454,18.97854,,37.460388,0.39025800000000005,,,,57.07548216000001,CHE
Europe,Belgium,504.1,3827.0,4096,,1308.0,33.0,5331.0,150.0,,15249.1,0.5299099199999999,10.057356,25.116672,,4.0103279999999994,21.014802000000003,0.0953964,0.657,,61.48146432,BEL
Africa,Libya,500.0,,,,,2440.0,11835.0,,,14775.0,0.7008,,,,,31.10238,6.41232,,,38.2155,LBY
Asia,Singapore,413.0,,,,,600.0,13315.0,256.0,,14584.0,0.542682,,,,,46.65576,2.1024,1.12128,,50.422122,SGP
Americas,Peru,508.2,1447.9,,,5351.0,57.0,7066.0,38.0,,14468.1,0.84584808,4.185589320000001,,,21.093642000000003,21.664356,0.174762,0.16644,,48.130637400000005,PER
Africa,Nigeria,48.6,10.0,,284.5,2638.0,,11008.0,,,13989.1,0.06811776000000001,0.0219,,1.495332,4.621776,28.929024,,,,35.136149759999995,NGA
Asia,Qatar,807.3,,,,,,12580.0,50.0,,13437.3,1.0607921999999999,,,,,44.08032,,0.219,,45.3601122,QAT
Europe,Bulgaria,2424.1,608.0,2080,4569.0,2452.0,,761.0,,,12894.1,2.54821392,1.597824,12.75456,16.009776000000002,7.517831999999999,2.999862,,,,43.42806792,BGR
Europe,Belarus,276.8,,2388,,,,9221.0,,,11885.8,0.29097216000000004,,14.643216,,,36.349182,,,,51.283370160000004,BLR
Europe,Ireland,1093.0,4190.5,,915.0,377.0,112.0,4859.0,68.0,,11614.5,1.1489615999999998,11.012633999999998,,3.20616,1.155882,19.154178,0.32376960000000005,0.29784,,36.2994252,IRL
Europe,Denmark,2147.7,5003.3,,411.0,,126.0,1077.0,2429.0,,11194.0,2.2576622399999997,13.1486724,,1.440144,,4.245534,0.36424080000000003,10.63902,,32.09527344,DNK
Asia,Hong Kong,,,,5060.0,,300.0,5799.0,,,11159.0,,,,24.37908,,20.319696,1.0512,,,45.749976,HKG
Asia,Laos,67.69999999999999,,,1878.0,8503.0,,,,,10448.7,0.08895779999999998,,,9.048204,29.794512000000005,,,,,38.931673800000006,LAO
Africa,Morocco,819.3,1291.0,,4092.0,1395.0,1031.0,870.0,,,9498.3,1.1483308799999998,2.82729,,21.507552,2.44404,2.28636,2.709468,,,32.92304088,MAR
Oceania,New Zealand,134.9,1233.0,,750.0,4628.0,154.8,1448.3,39.0,958.0,9346.0,0.22452756,3.240324,,3.942,12.162383999999998,2.5374216,0.27120960000000005,0.17082,6.7136640000000005,29.262350759999997,NZL
Europe,Hungary,2808.2,319.0,2027,884.0,,173.0,2852.0,245.0,,9308.2,2.95197984,0.838332,12.429563999999997,3.097536,,11.242584,0.5001084,1.0731,,32.13320424,HUN
Asia,Syria,101.3,,,,1585.0,759.0,6835.0,,,9280.3,0.13310819999999998,,,,5.55384,23.94984,2.659536,,,32.2963242,SYR
Asia,Tajikistan,,,,400.0,8156.0,,206.0,,,8762.0,,,,1.9272000000000002,28.578624,0.721824,,,,31.227648000000002,TJK
Asia,Bahrain,4.1,,,,,,8600.0,,,8604.1,0.005387399999999999,,,,,30.1344,,,,30.1397874,BHR
